참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    10	         30	          9	         10		PAGE FAULT
    17	         30	         17	         10		PAGE FAULT
    13	         30	         13	         10		PAGE FAULT
    26	         30	         26	         10		PAGE FAULT
    15	         30	         26	         15		PAGE FAULT
    5	         30	         26	          5		PAGE FAULT
    30	         30	         26	          5		          
    30	         30	         26	          5		          
    4	         30	         26	          4		PAGE FAULT
    27	         30	         26	         27		PAGE FAULT
    1	         30	         26	          1		PAGE FAULT
    26	         30	         26	          1		          
    11	         30	         26	         11		PAGE FAULT
    23	         30	         26	         23		PAGE FAULT
    30	         30	         26	         23		          
    5	          5	         26	         23		PAGE FAULT
    14	          5	         26	         14		PAGE FAULT
    26	          5	         26	         14		          
    12	          5	         12	         14		PAGE FAULT
    8	          5	          8	         14		PAGE FAULT
    15	          5	         15	         14		PAGE FAULT
    14	          5	         15	         14		          
    2	          5	         15	          2		PAGE FAULT
    15	          5	         15	          2		          
    7	          5	         15	          7		PAGE FAULT
    10	          5	         15	         10		PAGE FAULT
    5	          5	         15	         10		          
    23	         23	         15	         10		PAGE FAULT
    23	         23	         15	         10		          
    27	         23	         15	         27		PAGE FAULT
    15	         23	         15	         27		          
    2	         23	         15	          2		PAGE FAULT
    13	         23	         15	         13		PAGE FAULT
    19	         23	         15	         19		PAGE FAULT
    19	         23	         15	         19		          
    20	         23	         20	         19		PAGE FAULT
    23	         23	         20	         19		          
    19	         23	         20	         19		          
    19	         23	         20	         19		          
    19	         23	         20	         19		          
    7	         23	          7	         19		PAGE FAULT
    19	         23	          7	         19		          
    14	         14	          7	         19		PAGE FAULT
    9	         14	          7	          9		PAGE FAULT
    4	         14	          4	          9		PAGE FAULT
    14	         14	          4	          9		          
    14	         14	          4	          9		          
    9	         14	          4	          9		          
    1	         14	          1	          9		PAGE FAULT
    25	         14	         25	          9		PAGE FAULT
    8	         14	          8	          9		PAGE FAULT
    7	         14	          7	          9		PAGE FAULT
    9	         14	          7	          9		          
    10	         14	          7	         10		PAGE FAULT
    21	         14	          7	         21		PAGE FAULT
    7	         14	          7	         21		          
    19	         14	          7	         19		PAGE FAULT
    18	         14	          7	         18		PAGE FAULT
    30	         14	         30	         18		PAGE FAULT
    11	         14	         11	         18		PAGE FAULT
    14	         14	         11	         18		          
    14	         14	         11	         18		          
    4	         14	          4	         18		PAGE FAULT
    18	         14	          4	         18		          
    24	         14	          4	         24		PAGE FAULT
    23	         14	          4	         23		PAGE FAULT
    7	         14	          4	          7		PAGE FAULT
    16	         14	          4	         16		PAGE FAULT
    3	         14	          4	          3		PAGE FAULT
    17	         14	         17	          3		PAGE FAULT
    26	         26	         17	          3		PAGE FAULT
    9	          9	         17	          3		PAGE FAULT
    28	          9	         17	         28		PAGE FAULT
    10	          9	         17	         10		PAGE FAULT
    17	          9	         17	         10		          
    1	          9	         17	          1		PAGE FAULT
    15	          9	         15	          1		PAGE FAULT
    22	         22	         15	          1		PAGE FAULT
    1	         22	         15	          1		          
    15	         22	         15	          1		          
    9	         22	         15	          9		PAGE FAULT
    8	          8	         15	          9		PAGE FAULT
    21	         21	         15	          9		PAGE FAULT
    9	         21	         15	          9		          
    17	         21	         15	         17		PAGE FAULT
    3	         21	         15	          3		PAGE FAULT
    15	         21	         15	          3		          
    28	         21	         28	          3		PAGE FAULT
    20	         21	         20	          3		PAGE FAULT
    14	         21	         14	          3		PAGE FAULT
    30	         21	         30	          3		PAGE FAULT
    3	         21	         30	          3		          
    19	         21	         19	          3		PAGE FAULT
    4	         21	         19	          4		PAGE FAULT
    21	         21	         19	          4		          
    12	         21	         19	         12		PAGE FAULT
    18	         18	         19	         12		PAGE FAULT
    19	         18	         19	         12		          
    20	         18	         20	         12		PAGE FAULT
    12	         18	         20	         12		          
    6	          6	         20	         12		PAGE FAULT
    15	          6	         20	         15		PAGE FAULT
    20	          6	         20	         15		          
    3	          6	         20	          3		PAGE FAULT
    16	          6	         20	         16		PAGE FAULT
    28	          6	         20	         28		PAGE FAULT
    25	          6	         20	         25		PAGE FAULT
    30	         30	         20	         25		PAGE FAULT
    20	         30	         20	         25		          
    25	         30	         20	         25		          
    6	         30	         20	          6		PAGE FAULT
    20	         30	         20	          6		          
    24	         30	         24	          6		PAGE FAULT
    26	         30	         26	          6		PAGE FAULT
    28	         30	         28	          6		PAGE FAULT
    11	         30	         11	          6		PAGE FAULT
    29	         30	         29	          6		PAGE FAULT
    12	         30	         29	         12		PAGE FAULT
    30	         30	         29	         12		          
    10	         10	         29	         12		PAGE FAULT
    18	         10	         29	         18		PAGE FAULT
    29	         10	         29	         18		          
    13	         10	         13	         18		PAGE FAULT
    6	         10	         13	          6		PAGE FAULT
    24	         10	         13	         24		PAGE FAULT
    25	         10	         13	         25		PAGE FAULT
    10	         10	         13	         25		          
    11	         10	         13	         11		PAGE FAULT
    13	         10	         13	         11		          
    21	         10	         21	         11		PAGE FAULT
    22	         10	         22	         11		PAGE FAULT
    10	         10	         22	         11		          
    27	         27	         22	         11		PAGE FAULT
    3	          3	         22	         11		PAGE FAULT

Optimal: 
	Page faults : 362
	       Hits : 138
	  Hit Ratio : 27.60%
-----------------------------------------

-----------------------------------------
 (2). FIFO 
-----------------------------------------
참조스트림  page_frame[0]   page_frame[1]   page_frame[2] 	페이지 폴트
    14	         14	         -1	         -1		PAGE FAULT
    17	         14	         17	         -1		PAGE FAULT
    28	         14	         17	         28		PAGE FAULT
    26	         26	         17	         28		PAGE FAULT
    24	         26	         24	         28		PAGE FAULT
    26	         26	         24	         28		            
    17	         26	         24	         17		PAGE FAULT
    13	         13	         24	         17		PAGE FAULT
    10	         13	         10	         17		PAGE FAULT
    2	         13	         10	          2		PAGE FAULT
    3	          3	         10	          2		PAGE FAULT
    8	          3	          8	          2		PAGE FAULT
    21	          3	          8	         21		PAGE FAULT
    20	         20	          8	         21		PAGE FAULT
    24	         20	         24	         21		PAGE FAULT
    17	         20	         24	         17		PAGE FAULT
    1	          1	         24	         17		PAGE FAULT
    7	          1	          7	         17		PAGE FAULT
    23	          1	          7	         23		PAGE FAULT
    17	         17	          7	         23		PAGE FAULT
    12	         17	         12	         23		PAGE FAULT
    9	         17	         12	          9		PAGE FAULT
    28	         28	         12	          9		PAGE FAULT
    10	         28	         10	          9		PAGE FAULT
    3	         28	         10	          3		PAGE FAULT
    21	         21	         10	          3		PAGE FAULT
    3	         21	         10	          3		            
    14	         21	         14	          3		PAGE FAULT
    8	         21	         14	          8		PAGE FAULT
    26	         26	         14	          8		PAGE FAULT
    30	         26	         30	          8		PAGE FAULT
    13	         26	         30	         13		PAGE FAULT
